long_title,short_title
Clinical Allergy,Clin Allergy
Clinical Anatomy,Clin Anat
Clinical and Applied Thrombosis-Hemostasis,Clin Appl Thromb-Hem
Clinical and Diagnostic Laboratory Immunology,Clin Diagn Lab Immun
Clinical and Diagnostic Virology,Clin Diagn Virol
Clinical and Experimental Allergy,Clin Exp Allergy
Clinical and Experimental Dermatology,Clin Exp Dermatol
Clinical and Experimental Dialysis and Apheresis,Clin Exp Dial A
Clinical and Experimental Hypertension,Clin Exp Hypertens
Clinical and Experimental Hypertension Part A-Theory and Practice,Clin Exp Hypertens A
Clinical and Experimental Hypertension Part B-Hypertension in Pregnancy,Clin Exp Hypertens B
Clinical and Experimental Immunology,Clin Exp Immunol
Clinical and Experimental Pharmacology and Physiology,Clin Exp Pharmacol P
Clinical and Experimental Rheumatology,Clin Exp Rheumatol
Clinical and Investigative Medicine-Medecine Clinique Et Experimentale,Clin Invest Med
Clinical and Laboratory Haematology,Clin Lab Haematol
Clinical Autonomic Research,Clin Auton Res
Clinical Biochemistry,Clin Biochem
Clinical Biochemistry Contemporary Theories and Techniques,Clin Biochem Contemp
Clinical Biomechanics,Clin Biomech
Clinical Bulletin,Clin Bull
Clinical Cancer Research,Clin Cancer Res
Clinical Cardiology,Clin Cardiol
Clinical Chemistry,Clin Chem
Clinical Chemistry and Laboratory Medicine,Clin Chem Lab Med
Clinical Drug Investigation,Clin Drug Invest
Clinical Dysmorphology,Clin Dysmorphol
Clinical Electroencephalography,Clin Electroencephal
Clinical Endocrinology,Clin Endocrinol
Clinical Genetics,Clin Genet
Clinical Hemorheology,Clin Hemorheol
Clinical Hemorheology and Microcirculation,Clin Hemorheol Micro
Clinical Imaging,Clin Imag
Clinical Immunology,Clin Immunol
Clinical Immunology and Immunopathology,Clin Immunol Immunop
Clinical Immunotherapeutics,Clin Immunother
Clinical Infectious Diseases,Clin Infect Dis
Clinical Investigator,Clin Investigator
Clinical Journal of Pain,Clin J Pain
Clinical Journal of Sport Medicine,Clin J Sport Med
Clinical Linguistics & Phonetics,Clin Linguist Phonet
Clinical Materials,Clin Mater
Clinical Microbiology and Infection,Clin Microbiol Infec
Clinical Microbiology Reviews,Clin Microbiol Rev
Clinical Nephrology,Clin Nephrol
Clinical Neurology and Neurosurgery,Clin Neurol Neurosur
Clinical Neuropathology,Clin Neuropathol
Clinical Neuropharmacology,Clin Neuropharmacol
Clinical Neurophysiology,Clin Neurophysiol
Clinical Neuropsychologist,Clin Neuropsychol
Clinical Neuroscience,Clin Neurosci
Clinical Neurosurgery,Clin Neur
Clinical Nuclear Medicine,Clin Nucl Med
Clinical Nutrition,Clin Nutr
Clinical Obstetrics and Gynecology,Clin Obstet Gynecol
Clinical Oncology,Clin Oncol
Clinical Oncology Monographs,Clin Oncolo
Clinical Oral Implants Research,Clin Oral Implan Res
Clinical Orthopaedics and Related Research,Clin Orthop Relat R
Clinical Otolaryngology,Clin Otolaryngol
Clinical Pediatrics,Clin Pediatr
Clinical Pharmacokinetics,Clin Pharmacokinet
Clinical Pharmacology & Therapeutics,Clin Pharmacol Ther
Clinical Pharmacy,Clin Pharmacy
Clinical Physics and Physiological Measurement,Clin Phys Physiol M
Clinical Physiology,Clin Physiol
Clinical Physiology and Biochemistry,Clin Physiol Bioch
Clinical Psychology & Psychotherapy,Clin Psychol Psychot
Clinical Psychology Review,Clin Psychol Rev
Clinical Psychology-Science and Practice,Clin Psychol-Sci Pr
Clinical Radiology,Clin Radiol
Clinical Rehabilitation,Clin Rehabil
Clinical Research,Clin Res
Clinical Research and Regulatory Affairs,Clin Res Regul Aff
Clinical Reviews in Allergy,Clin Rev Allerg
Clinical Reviews in Allergy & Immunology,Clin Rev Allerg Immu
Clinical Rheumatology,Clin Rheumatol
Clinical Science,Clin Sci
Clinical Social Work Journal,Clin Soc Work J
Clinical Techniques in Small Animal Practice,Clin Tech Small an P
Clinical Therapeutics,Clin Ther
Clinical Toxicology,Clin Toxicol
Clinical Transplantation,Clin Transplant
Clinical Trials and Meta-Analysis,Clin Trial Meta-Anal
Clinical Trials Journal,Clin Trials J
Clinical Vision Sciences,Clin Vision Sci
Clinician Clinician,Clinician Clinician
Clinics in Anaesthesiology,Clin Anaesthesiol
Clinics in Chest Medicine,Clin Chest Med
Clinics in Dermatology,Clin Dermatol
Clinics in Endocrinology and Metabolism,Clin Endocrinol Meta
Clinics in Gastroenterology,Clin Gastroenterol
Clinics in Geriatric Medicine,Clin Geriatr Med
Clinics in Haematology,Clin Haematol
Clinics in Immunology and Allergy,Clin Immunol Allergy
Clinics in Laboratory Medicine,Clin Lab Med
Clinics in Obstetrics and Gynaecology,Clin Obstet Gynaecol
Clinics in Oncology,Clinics Oncol
Clinics in Perinatology,Clin Perinatol
Clinics in Plastic Surgery,Clin Plast Surg
Clinics in Rheumatic Diseases,Clin Rheum Dis
Clinics in Sports Medicine,Clin Sport Med
Clio-A Journal of Literature History and the Philosophy of History,Clio Clio
Cme-Chartered Mechanical Engineer,Cme-Charter Mech Eng
Cns Drug Reviews,Cns Drug Rev
Cns Drugs,Cns Drugs
Coal Age,Coal Age
Coastal Engineering,Coast Eng
Coastal Management,Coast Manage
Coastal Zone Management Journal,Coast Manage
Coeur Coeur,Coeur-Rev Card Med-C
Cognition Cognition,Cognition Cognition
Cognition & Emotion,Cognition Emotion
Cognition and Instruction,Cognition Instruct
Cognitive and Behavioral Practice,Cogn Behav Pract
Cognitive Brain Research,Cognitive Brain Res
Cognitive Development,Cognitive Dev
Cognitive Linguistics,Cogn Linguist
Cognitive Neuropsychology,Cognitive Neuropsych
Cognitive Psychology,Cognitive Psychol
Cognitive Science,Cognitive Sci
Cognitive Therapy and Research,Cognitive Ther Res
Colby Quarterly,Colby Quart
Cold Regions Science and Technology,Cold Reg Sci Technol
Cold Spring Harbor Symposia on Quantitative Biology,Cold Spring Harb Sym
Coleopterists Bulletin,Coleopts Bull
Collagen and Related Research,Collagen Rel Res
Collection of Czechoslovak Chemical Communications,Collect Czech Chem C
College & Research Libraries,Coll Res Libr
College and University,Coll Univ
College Composition and Communication,Coll Compos Commun
College English,Coll Engl
College Literature,Coll Literature
College Mathematics Journal,Coll Math J
College Music Symposium,Coll Music Sym
Collegium Antropologicum,Collegium Antropol
Colloid and Polymer Science,Colloid Polym Sci
Colloid Journal,Colloid J+
Colloid Journal of the Russian Academy of Sciences,Colloid J Russ Acad+
Colloid Journal of the Ussr,Colloid J Russ Acad+
Colloids and Surfaces,Colloid Surface
Colloids and Surfaces A-Physicochemical and Engineering Aspects,Colloid Surface A
Colloids and Surfaces B-Biointerfaces,Colloid Surface B
Colloquia Germanica,Colloq Germanica
Colonial Latin American Historical Review,Colon Lat Am Hist R
Colonial Waterbirds,Colon Waterbird
Coloquio-Artes Coloquio-Artes,Coloquio-Artes Coloquio-Artes
Coloquio-Letras Coloquio-Letras,Coloquio-Letras Coloquio-Letras
Color Research and Application,Color Res Appl
Colorado School of Mines Quarterly,Colo School Mines Q
Colorado State University Experiment Station Bulletin,Colo St Ex St Bull
Colorado State University Experiment Station Technical Bulletin,Colo St Ex St Tech B
Colourage Colourage,Colourage Colourage
Colposcopy & Gynecologic Laser Surgery,Colp Gynecol Las Sur
Columbia Journal of Law and Social Problems,Columbia J Law Soc P
Columbia Journal of Transnational Law,Columbia J Trans Law
Columbia Journal of World Business,Columbia J World Bus
Columbia Law Review,Columbia Law Rev
Combinatorial Chemistry & High Throughput Screening,Com Chem High T Scr
Combinatorial Chemistry in Biology,Curr Top Microbiol
Combinatorica Combinatorica,Combinatorica Combinatorica
Combinatorics Probability & Computing,Comb Probab Comput
Combustion and Flame,Combust Flame
Combustion Explosion and Shock Waves,Combust Explo Shock+
Combustion Science and Technology,Combust Sci Technol
Combustion Theory and Modelling,Combust Theor Model
Comitatus-A Journal of Medieval and Renaissance Studies,Comitatus Comitatus
Commentarii Mathematici Helvetici,Comment Math Helv
Commentary Commentary,Commentary Commentary
Commentationes Physico-Mathematicae,Comment Phys-Math
Comments on Inorganic Chemistry,Comment Inorg Chem
Common Market Law Review,Common Mkt Law Rev
Commonwealth & Comparative Politics,Commonw Comp Polit
Commonwealth Forestry Review,Commonw Forest Rev
Communication & Broadcasting,Commun Broadcast
Communication Education,Commun Educ
Communication Monographs,Commun Monogr
Communication Research,Commun Res
Communication Theory,Commun Theor
Communications in Algebra,Commun Algebra
Communications in Analysis and Geometry,Commun Anal Geom
Communications in Applied Numerical Methods,Commun Appl Numer M
Communications in Contemporary Mathematics,Commun Contemp Math
Communications in Mathematical Physics,Commun Math Phys
Communications in Numerical Methods in Engineering,Commun Numer Meth En
Communications in Partial Differential Equations,Commun Part Diff Eq
Communications in Soil Science and Plant Analysis,Commun Soil Sci Plan
Communications in Statistics Part A-Theory and Methods,Commun Stat A-Theor
Communications in Statistics Part B-Simulation and Computation,Commun Stat B-Simul
Communications in Statistics-Simulation and Computation,Commun Stat Simulat
Communications in Statistics-Theory and Methods,Commun Stat Theory
Communications in Theoretical Physics,Commun Theor Phys
Communications News,Commun News
Communications of the Acm,Commun Acm
Communications on Pure and Applied Mathematics,Commun Pur Appl Math
Communications Product Reports,Commun Prod Rep
Communist and Post-Communist Studies,Communis Post-Commun
Communist Economies & Economic Transformation,Communist Econ Ec Tr
Community Dental Health,Community Dent Hlth
Community Dentistry and Oral Epidemiology,Community Dent Oral
Community Development Journal,Community Dev J
Community Medicine,Community Med
Community Mental Health Journal,Community Ment Hlt J
Commutation & Transmission,Commutation Transm
Compact Stars in Binaries,Iau Symp
Companion Animal Practice,Companion Anim Pract
Comparative Biochemistry and Physiology A-Molecular and Integrative Physiology,Comp Biochem Phys A
Comparative Biochemistry and Physiology A-Physiology,Comp Biochem Phys A
Comparative Biochemistry and Physiology B-Biochemistry & Molecular Biology,Comp Biochem Phys B
Comparative Biochemistry and Physiology C-Pharmacology Toxicology & Endocrinology,Comp Biochem Phys C
Comparative Drama,Comp Drama
Comparative Education,Comp Educ
Comparative Education Review,Comp Educ Rev
Comparative Haematology International,Comp Haematol Int
Comparative Immunology Microbiology and Infectious Diseases,Comp Immunol Microb
Comparative Literature,Comp Literature
Comparative Literature Studies,Comp Literature Stud
Comparative Medicine,Comparative Med
Comparative Parasitology,Comp Parasitol
Comparative Physiology and Ecology,Comp Physiol Ecol
Comparative Political Studies,Comp Polit Stud
Comparative Politics,Comp Polit
Comparative Strategy,Comp Strategy
Comparative Studies in Society and History,Comp Stud Soc Hist
Compel-The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,Compel Compel
Compendium on Continuing Education for the Practicing Veterinarian,Comp Cont Educ Pract
Complement Complement,Complement Inflammat
Complement and Inflammation,Complement Inflammat
Complications in Surgery,Complication Surg
Composite Interfaces,Compos Interface
Composite Structures,Compos Struct
Composites Composites,Composites Composites
Composites Engineering,Compos Eng
Composites Manufacturing,Compos Manuf
Composites Part A-Applied Science and Manufacturing,Compos Part A-Appl S
Composites Part B-Engineering,Compos Part B-Eng
Composites Science and Technology,Compos Sci Technol
Compositio Mathematica,Compos Math
Compost Science & Utilization,Compost Sci Util
Comprehensive Biochemistry,Compr Biochem
Comprehensive Chemical Kinetics,Compr Chem Kinet
Comprehensive Endocrinology,Compr Endocrinol
Comprehensive Immunology,Compr Immunol
Comprehensive Psychiatry,Compr Psychiat
Comprehensive Virology,Compr Virol
Comptes Rendus De L Academie Des Sciences Serie I-Mathematique,Cr Acad Sci I-Math
Comptes Rendus De L Academie Des Sciences Serie Ii,Cr Acad Sci Ii
Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule A-Sciences De La Terre Et Des Planetes,Cr Acad Sci Ii A
Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule B-Mecanique Physique Astronomie,Cr Acad Sci Ii B
Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule B-Mecanique Physique Chimie Astronomie,Cr Acad Sci Ii B
Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule C-Chimie,Cr Acad Sci Ii C
Comptes Rendus De L Academie Des Sciences Serie Iii-Sciences De La Vie-Life Sciences,Cr Acad Sci Iii-Vie
Comptes Rendus Des Seances De L Academie Des Inscriptions & Belles-Lettres,Cr Acad Inscr Belle
Comptes Rendus Des Seances De La Societe De Biologie Et De Ses Filiales,Cr Soc Biol
Computational & Theoretical Polymer Science,Comput Theor Polym S
Computational and Applied Mathematics,Comput Appl Math
Computational and Theoretical Polymer Science,Comput Theor Polym S
Computational Complexity,Comput Complex
Computational Geometry-Theory and Applications,Comp Geom-Theor Appl
Computational Geosciences,Computat Geosci
Computational Intelligence,Comput Intell
Computational Linguistics,Comput Linguist
Computational Materials Science,Comp Mater Sci
Computational Mathematics and Mathematical Physics,Comp Math Math Phys+
Computational Mechanics,Comput Mech
Computational Optimization and Applications,Comput Optim Appl
Computational Polymer Science,Comput Polymer Sci
Computational Statistics,Computation Stat
Computational Statistics & Data Analysis,Comput Stat Data An
Computer Computer,Computer Computer
Computer & Communications Decisions,Comput Decis
Computer Aided Geometric Design,Comput Aided Geom D
Computer Applications in Engineering Education,Comput Appl Eng Educ
Computer Applications in the Biosciences,Comput Appl Biosci
Computer Communication Review,Comput Commun Rev
Computer Communications,Comput Commun
Computer Decisions,Comput Decis
Computer Design,Comput Des
Computer Equipment Review,Comput Equip Rev
Computer Fraud & Security,Comput Fraud Secur
Computer Graphics,Comput Graphics
Computer Graphics and Image Processing,Comput Vision Graph
Computer Graphics Forum,Comput Graph Forum
Computer Graphics World,Comput Graph World
Computer Graphics-Us,Comput Graphics-Us
Computer Integrated Manufacturing Systems,Comput Integr Manuf
Computer Journal,Comput J
Computer Languages,Comput Lang
Computer Methods and Programs in Biomedicine,Comput Meth Prog Bio
Computer Methods for Macromolecular Sequence Analysis,Method Enzymol
Computer Methods in Applied Mechanics and Engineering,Comput Method Appl M
Computer Music Journal,Comput Music J
Computer Networks and Isdn Systems,Comput Networks Isdn
Computer Networks-The International Journal of Computer and Telecommunications Networking,Comput Netw
Computer Performance,Comput Perform
Computer Physics Communications,Comput Phys Commun
Computer Physics Reports,Comput Phys Rep
Computer Programs in Biomedicine,Comput Prog Biomed
Computer Speech and Language,Comput Speech Lang
Computer Standards & Interfaces,Comp Stand Inter
Computer Systems Science and Engineering,Comput Syst Sci Eng
Computer Vision and Image Understanding,Comput Vis Image Und
Computer Vision Graphics and Image Processing,Comput Vision Graph
Computer-Aided Design,Comput Aided Design
Computer-Aided Engineering,Comput Aided Eng
Computerized Medical Imaging and Graphics,Comput Med Imag Grap
Computerized Radiology,Comput Radiol
Computers & Chemical Engineering,Comput Chem Eng
Computers & Chemistry,Comput Chem
Computers & Education,Comput Educ
Computers & Electrical Engineering,Comput Electr Eng
Computers & Fluids,Comput Fluids
Computers & Geosciences,Comput Geosci
Computers & Graphics,Comput Graph
Computers & Graphics-Uk,Comput Graph-Uk
Computers & Industrial Engineering,Comput Ind Eng
Computers & Mathematics with Applications,Comput Math Appl
Computers & Mathematics with Applications-Part A,Comput Math Appl-A
Computers & Mathematics with Applications-Part B,Comput Math Appl-B
Computers & Operations Research,Comput Oper Res
Computers & Security,Comput Secur
Computers & Structures,Comput Struct
Computers and Artificial Intelligence,Comput Artif Intell
Computers and Biomedical Research,Comput Biomed Res
Computers and Electronics in Agriculture,Comput Electron Agr
Computers and Geotechnics,Comput Geotech
Computers and People,Comput People
Computers and the Humanities,Comput Humanities
Computers Environment and Urban Systems,Comput Environ Urban
Computers in Biology and Medicine,Comput Biol Med
Computers in Human Behavior,Comput Hum Behav
Computers in Industry,Comput Ind
Computers in Nursing,Comput Nurs
Computers in Physics,Comput Phys
Computertomographie Computertomographie,Computertomographie Computertomographie
Computertomographie Sonographie Und Andere Neue Bilddiagnostische Methoden,Computertom Sonograp
Computing Computing,Computing Computing
Computing & Control Engineering Journal,Comput Control Eng J
Computing for Business,Comput Bus
Computing in Science & Engineering,Comput Sci Eng
Computing Surveys,Comput Surv
Computing Systems,Comput Syst
Computing Systems in Engineering,Comput Syst Eng
Comsat Technical Review,Comsat Tech Rev
Concepts in Magnetic Resonance,Concept Magnetic Res
Concepts in Neuroscience,Concept Neurosci
Concrete Construction,Concrete Constr
Concurrency-Practice and Experience,Concurrency-Pract Ex
Concurrent Engineering-Research and Applications,Concurrent Eng-Res A
Condor Condor,Condor Condor
Confectionery Production,Confect Prod
Configurations Configurations,Configurations Configurations
Confinia Cephalalgica,Confin Cephalalgica
Conflict Management and Peace Science,Conflict Manag Peace
Confluencia-Revista Hispanica De Cultura Y Literatura,Confluencia Confluencia
Confrontation Confrontation,Confrontation Confrontation
Congress & the Presidency-A Journal of Capital Studies,Congr Presidency
Connaissance Des Arts,Connaissance Arts
Connecticut Agricultural Experiment Station Bulletin,Conn Aes Bull
Connecticut Medicine,Conn Med
Connection Science,Connect Sci
Connective Tissue Research,Connect Tissue Res
Connector Specifier,Connector Specifier
Conradiana Conradiana,Conradiana Conradiana
Consciousness and Cognition,Conscious Cogn
Conservation & Recycling,Conserv Recycling
Conservation Biology,Conserv Biol
Conservationist Conservationist,Conservationist Conservationist
Construction and Building Materials,Constr Build Mater
Construction Contracting,Constr Contract
Constructive Approximation,Constr Approx
Consulting Engineer,Consult Eng
Contact Dermatitis,Contact Dermatitis
Contemporary Chinese Thought,Contemp Chin Thought
Contemporary Economic Policy,Contemp Econ Policy
Contemporary Educational Psychology,Contemp Educ Psychol
Contemporary Family Therapy,Contemp Fam Ther
Contemporary Literature,Contemp Literature
Contemporary Organic Synthesis,Contemp Org Synth
Contemporary Pacific,Contemp Pacific
Contemporary Pharmacy Practice,Contemp Pharm Pract
Contemporary Physics,Contemp Phys
Contemporary Psychoanalysis,Contemp Psychoanal
Contemporary Psychology,Contemp Psychol
Contemporary Psychology-Apa Review of Books,Contemp Psychol
Contemporary Sociology-A Journal of Reviews,Contemp Sociol
Contemporary Theatre Review,Contemp Theatre Rev
Contemporary Topics in Immunobiology,Contemp Top Immunobi
Contemporary Topics in Laboratory Animal Science,Contemp Top Lab Anim
Contemporary Topics in Molecular Immunology,Contemp Top Molec Im
Continental Philosophy Review,Cont Philos Rev
Continental Shelf Research,Cont Shelf Res
Continuity and Change,Continuity Change
Continuum Mechanics and Thermodynamics,Continuum Mech Therm
Contraception Contraception,Contraception Contraception
Contraception Fertilite Sexualite,Contracept Fertil S
Contraceptive Delivery Systems,Contracept Deliv Sys
Contributions in Marine Science,Contrib Mar Sci
Contributions to Indian Sociology,Contrib Indian Soc
Contributions to Mineralogy and Petrology,Contrib Mineral Petr
Contributions to Nephrology,Contrib Nephrol
Contributions to Plasma Physics,Contrib Plasm Phys
Contributions to Zoology,Contrib Zool
Control and Computers,Control Comput
Control and Cybernetics,Control Cybern
Control and Instrumentation,Control Instrum
Control Engineering,Control Eng
Control Engineering Practice,Control Eng Pract
Control-Theory and Advanced Technology,Contr-Theor Adv Tech
Controlled Clinical Trials,Control Clin Trials
Convulsive Therapy,Convulsive Ther
Coordination Chemistry Reviews,Coordin Chem Rev
Copeia Copeia,Copeia Copeia
Cor Et Vasa,Cor Vasa
Coral Reefs,Coral Reefs
Cornea Cornea,Cornea Cornea
Cornell International Law Journal,Cornell Int Law J
Cornell Law Review,Cornell Law Rev
Cornell Veterinarian,Cornell Vet
Coronary Artery Disease,Coronary Artery Dis
Corporate Governance-An International Review,Corp Gov
Corrosion Corrosion,Corrosion Corrosion
Corrosion Prevention & Control,Corros Prevent Contr
Corrosion Reviews,Corros Rev
Corrosion Science,Corros Sci
Cortex Cortex,Cortex Cortex
Cosmetics & Toiletries,Cosmet Toiletries
Coton Et Fibres Tropicales,Coton Fibres Trop
Counseling Psychologist,Couns Psychol
Coxsackie B Viruses,Curr Top Microbiol
Cranio-The Journal of Craniomandibular Practice,Cranio Cranio
Crc Critical Reviews in Analytical Chemistry,Crc Cr Rev Anal Chem
Crc Critical Reviews in Biochemistry,Crc Cr Rev Bioch Mol
Crc Critical Reviews in Biocompatibility,Crit Rev Biocompat
Crc Critical Reviews in Biomedical Engineering,Crit Rev Biomed Eng
Crc Critical Reviews in Biotechnology,Crc Cr Rev Biotechn
Crc Critical Reviews in Clinical Laboratory Sciences,Crc Cr Rev Cl Lab Sc
Crc Critical Reviews in Clinical Neurobiology,Crc Cr Rev Cl Neurob
Crc Critical Reviews in Diagnostic Imaging,Crc Cr Rev Diagn Im
Crc Critical Reviews in Environmental Control,Crit Rev Env Contr
Crc Critical Reviews in Food Science and Nutrition,Crc Cr Rev Food Sci
Crc Critical Reviews in Immunology,Crc Cr Rev Immunol
Crc Critical Reviews in Medical Informatics,Crc Crit R Med Infor
Crc Critical Reviews in Microbiology,Crc Cr Rev Microbiol
Crc Critical Reviews in Oncology/Hematology,Crc Cr Rev Oncol-Hem
Crc Critical Reviews in Plant Sciences,Crc Cr Rev Plant Sci
Crc Critical Reviews in Solid State and Materials Sciences,Crc Cr Rev Sol State
Crc Critical Reviews in Therapeutic Drug Carrier Systems,Crit Rev Ther Drug
Crc Critical Reviews in Toxicology,Crc Cr Rev Toxicol
Creative Computing,Creative Comput
Creativity Research Journal,Creativity Res J
Cretaceous Research,Cretaceous Res
Crime & Delinquency,Crime Delinquency
Crime and Justice,Crime Justice
Crime and Justice-A Review of Research,Crime Justice
Crime Laboratory Digest,Crime Lab Digest
Crime Law and Social Change,Crime Law Social Ch
Criminal Justice and Behavior,Crim Justice Behav
Criminal Law Review,Crim Law Rev
Criminology Criminology,Criminology Criminology
Crisis Intervention and Time-Limited Treatment,Crisis Interv Time-L
Critica Hispanica,Critica Hispanica
Critica Letteraria,Critica Lett
Critica-Revista Hispanoamericana De Filosofia,Critica Critica
Critical Care,Crit Care
Critical Care Clinics,Crit Care Clin
Critical Care Medicine,Crit Care Med
Critical Inquiry,Crit Inquiry
Critical Quarterly,Crit Quart
Critical Review,Crit Rev
Critical Reviews in Analytical Chemistry,Crit Rev Anal Chem
Critical Reviews in Biochemistry and Molecular Biology,Crit Rev Biochem Mol
Critical Reviews in Biocompatibility,Crit Rev Biocompat
Critical Reviews in Biomedical Engineering,Crit Rev Biomed Eng
Critical Reviews in Biotechnology,Crit Rev Biotechnol
Critical Reviews in Clinical Laboratory Sciences,Crit Rev Cl Lab Sci
Critical Reviews in Diagnostic Imaging,Crit Rev Diagn Imag
Critical Reviews in Environmental Control,Crit Rev Env Contr
Critical Reviews in Environmental Science and Technology,Crit Rev Env Sci Tec
Critical Reviews in Eukaryotic Gene Expression,Crit Rev Eukar Gene
Critical Reviews in Food Science and Nutrition,Crit Rev Food Sci
Critical Reviews in Immunology,Crit Rev Immunol
Critical Reviews in Microbiology,Crit Rev Microbiol
Critical Reviews in Neurobiology,Crit Rev Neurobiol
Critical Reviews in Neurosurgery,Crit Rev Neurosurg
Critical Reviews in Oncogenesis,Crit Rev Oncogenesis
Critical Reviews in Oncology Hematology,Crit Rev Oncol Hemat
Critical Reviews in Oncology/Hematology,Crit Rev Oncol Hemat
Critical Reviews in Oral Biology & Medicine,Crit Rev Oral Biol M
Critical Reviews in Oral Biology and Medicine,Crit Rev Oral Biol M
Critical Reviews in Plant Sciences,Crit Rev Plant Sci
Critical Reviews in Solid State and Materials Sciences,Crit Rev Solid State
Critical Reviews in Surface Chemistry,Crit Rev Surf Chem
Critical Reviews in Therapeutic Drug Carrier Systems,Crit Rev Ther Drug
Critical Reviews in Toxicology,Crit Rev Toxicol
Critical Studies in Mass Communication,Crit Stud Mass Comm
Critical Studies in Media Communication,Crit Stud Media Comm
Criticism-A Quarterly for Literature and the Arts,Crit-Q Lit Art
Critique Critique,Critique Critique
Critique of Anthropology,Crit Anthropol
Critique-Studies in Contemporary Fiction,Critique-St Contemp
Croatian Medical Journal,Croat Med J
Croatica Chemica Acta,Croat Chem Acta
Crop Protection,Crop Prot
Crop Research,Crop Res
Crop Science,Crop Sci
Cross-Cultural Research,Cross-Cult Res
Crustaceana Crustaceana,Crustaceana Crustaceana
Cryo-Letters Cryo-Letters,Cryo-Lett Cryo-Lett
Cryobiology Cryobiology,Cryobiology Cryobiology
Cryogenics Cryogenics,Cryogenics Cryogenics
Cryptogamie Algologie,Cryptogamie Algol
Cryptogamie Bryologie,Cryptogam Bryol
Cryptogamie Bryologie Lichenologie,Cryptogamie Bryol L
Cryptogamie Mycologie,Cryptogamie Mycol
Crystal Lattice Defects,Cryst Latt Def Amorp
Crystal Lattice Defects and Amorphous Materials,Cryst Latt Def Amorp
Crystal Research and Technology,Cryst Res Technol
Crystal Structure Communications,Cryst Struct Commun
Crystallography Reports,Crystallogr Rep+
Ct-Journal of Computed Tomography,Ct-J Comput Tomogr
Cuadernos Hispanoamericanos,Cuadernos Hispanoam
Cuban Journal of Agricultural Science,Cuban J Agr Sci
Cultural Anthropology,Cult Anthropol
Cultural Critique,Cult Crit
Cultural Studies,Cult Stud
Culture & Psychology,Cult Psychol
Culture Medicine and Psychiatry,Cult Med Psychiat
Current Anthropology,Curr Anthropol
Current Biology,Curr Biol
Current Comments,Curr Comments
Current Contents,Curr Contents
Current Contents/Agriculture Biology & Environmental Sciences,Cc/Agr Biol Environ
Current Contents/Clinical Medicine,Cc/Clin Med
Current Contents/Clinical Practice,Cc/Clin Practice
Current Contents/Engineering Technology & Applied Sciences,Cc/Eng Tech Appl Sci
Current Contents/Life Sciences,Cc/Life Sci
Current Contents/Physical Chemical & Earth Sciences,Cc/Phys Chem Earth
Current Contents/Social & Behavioral Sciences,Cc/Soc Behav Sci
Current Directions in Psychological Science,Curr Dir Psychol Sci
Current Eye Research,Curr Eye Res
Current Genetics,Curr Genet
Current History,Curr Hist
Current Medical Research and Opinion,Curr Med Res Opin
Current Medicinal Chemistry,Curr Med Chem
Current Microbiology,Curr Microbiol
Current Opinion in Biotechnology,Curr Opin Biotech
Current Opinion in Cardiology,Curr Opin Cardiol
Current Opinion in Cell Biology,Curr Opin Cell Biol
Current Opinion in Chemical Biology,Curr Opin Chem Biol
Current Opinion in Colloid & Interface Science,Curr Opin Colloid In
Current Opinion in Cosmetic Dentistry,Curr Opin Cosmet D
Current Opinion in Gastroenterology,Curr Opin Gastroen
Current Opinion in Genetics & Development,Curr Opin Genet Dev
Current Opinion in Immunology,Curr Opin Immunol
Current Opinion in Infectious Diseases,Curr Opin Infect Dis
Current Opinion in Lipidology,Curr Opin Lipidol
Current Opinion in Microbiology,Curr Opin Microbiol
Current Opinion in Nephrology and Hypertension,Curr Opin Nephrol Hy
Current Opinion in Neurobiology,Curr Opin Neurobiol
Current Opinion in Neurology,Curr Opin Neurol
Current Opinion in Neurology and Neurosurgery,Curr Opin Neurol Neu
Current Opinion in Obstetrics & Gynecology,Curr Opin Obstet Gyn
Current Opinion in Ophthalmology,Curr Opin Ophthalmol
Current Opinion in Pediatrics,Curr Opin Pediatr
Current Opinion in Periodontology,Curr Opin Periodont
Current Opinion in Plant Biology,Curr Opin Plant Biol
Current Opinion in Psychiatry,Curr Opin Psychiatr
Current Opinion in Radiology,Curr Opin Radiol
Current Opinion in Rheumatology,Curr Opin Rheumatol
Current Opinion in Solid State & Materials Science,Curr Opin Solid St M
Current Opinion in Structural Biology,Curr Opin Struc Biol
Current Organic Chemistry,Curr Org Chem
Current Orthopaedics,Curr Orthopaed
Current Perspectives in Social Theory,Curr Perspect Soc Th
Current Pharmaceutical Design,Curr Pharm Design
Current Problems in Cancer,Curr Prob Cancer
Current Problems in Cardiology,Curr Prob Cardiology
Current Problems in Dermatology,Curr Probl Dermatol
Current Problems in Dermatology-Us,Curr Probl Derm-Us
Current Problems in Obstetrics Gynecology and Fertility,Curr Prob Obst Gyn F
Current Problems in Surgery,Curr Prob Surg
Current Psychology,Curr Psychol
Current Science,Curr Sci India
Current Therapeutic Research-Clinical and Experimental,Curr Ther Res Clin E
Current Topics in Bioenergetics,Curr Top Bioenerg
